epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,1069.26,3.13917,4.51102,2.41877,0.00028,0.04545,0.00022,6e-05,3.32775,4.43141,2.74602,0.000318453,0.000318453,0.000318453
159,1076.51,3.11621,4.59892,2.45144,0.00075,0.08144,0.0006,0.00014,3.40682,4.48943,2.7808,0.000311379,0.000311379,0.000311379
160,1082.8,3.16826,4.5788,2.46451,0.00099,0.08712,0.0007,0.00021,3.43289,4.56876,2.80655,0.000304306,0.000304306,0.000304306
161,1087.88,3.14451,4.69993,2.47178,0.00109,0.07197,0.00066,0.00024,3.39929,4.67521,2.81421,0.000297232,0.000297232,0.000297232
162,1094.76,3.30338,4.66042,2.48586,0.00109,0.07197,0.00066,0.00024,3.36682,4.78484,2.82751,0.000290158,0.000290158,0.000290158
163,1101.65,3.26121,4.67623,2.46211,0.00066,0.02083,0.00036,4e-05,3.3911,4.68448,2.83627,0.000283085,0.000283085,0.000283085
164,1108.72,3.12679,4.46747,2.40616,0.00162,0.07197,0.00102,0.00021,3.39123,4.49312,2.81104,0.000276011,0.000276011,0.000276011
165,1115.97,3.30654,4.60354,2.63825,0.00153,0.07197,0.00092,0.00021,3.37742,4.38775,2.78658,0.000268938,0.000268938,0.000268938
166,1122.57,3.21862,4.45079,2.52167,0.00075,0.05114,0.00047,8e-05,3.28897,4.28366,2.73949,0.000261864,0.000261864,0.000261864
167,1128.23,3.18185,4.53628,2.50099,0.00237,0.09307,0.00152,0.00066,3.25031,4.24629,2.71796,0.000254791,0.000254791,0.000254791
168,1134.08,3.26684,4.71011,2.50016,0.00198,0.09876,0.00133,0.00055,3.26301,4.26603,2.73643,0.000247717,0.000247717,0.000247717
169,1140.91,3.11443,4.57797,2.43167,0.00145,0.06277,0.001,0.00049,3.23516,4.27983,2.73813,0.000240644,0.000240644,0.000240644
170,1148.28,3.06215,4.78731,2.58815,0.00142,0.11391,0.00108,0.00035,3.21542,4.27573,2.71348,0.00023357,0.00023357,0.00023357
171,1155.3,3.22008,4.52428,2.47198,0.00056,0.07792,0.00084,0.00034,3.231,4.23377,2.73512,0.000226497,0.000226497,0.000226497
172,1162.23,3.15755,4.68614,2.54225,0.00062,0.07792,0.00088,0.00038,3.25639,4.24617,2.75344,0.000219423,0.000219423,0.000219423
173,1168.1,3.14055,4.70029,2.54192,0.00115,0.09307,0.00139,0.00061,3.22886,4.26284,2.73166,0.000212349,0.000212349,0.000212349
174,1173.25,3.05023,4.34279,2.34122,0.00146,0.06629,0.00198,0.00072,3.19044,4.24969,2.69764,0.000205276,0.000205276,0.000205276
175,1180.37,3.11613,4.46976,2.47179,0.00146,0.06629,0.00265,0.00084,3.20214,4.27957,2.71277,0.000198202,0.000198202,0.000198202
176,1188.37,3.21275,4.57314,2.54858,0.0012,0.06629,0.00245,0.00129,3.2408,4.26719,2.73188,0.000191129,0.000191129,0.000191129
177,1195.76,3.20422,4.52242,2.45759,0.00114,0.06629,0.00199,0.00093,3.25658,4.25677,2.75051,0.000184055,0.000184055,0.000184055
178,1202.77,3.26787,4.50431,2.50123,0.00107,0.05114,0.00096,0.00036,3.2575,4.29989,2.75177,0.000176982,0.000176982,0.000176982
179,1208.39,3.13009,4.68732,2.46522,0.00136,0.05114,0.00089,0.00027,3.25142,4.32859,2.73888,0.000169908,0.000169908,0.000169908
180,1213.84,3.20607,4.48976,2.53433,0.00113,0.03598,0.00076,0.00024,3.25104,4.32992,2.74693,0.000162835,0.000162835,0.000162835
181,1218.9,3.00645,4.45733,2.40441,0.00191,0.11391,0.00135,0.00041,3.24646,4.25845,2.7492,0.000155761,0.000155761,0.000155761
182,1226.02,3.14171,4.48885,2.52038,0.00129,0.11391,0.00121,0.00035,3.25573,4.20005,2.75778,0.000148687,0.000148687,0.000148687
183,1232.57,3.12062,4.46994,2.47972,0.00136,0.12906,0.00122,0.00033,3.25279,4.17685,2.75589,0.000141614,0.000141614,0.000141614
